State,Year,State Name,legalWeedStatus,yearly_deaths,yearly_OD_deaths,%OD Deaths,"Deaths  per 100,000 population"
IN,2015.0,Indiana,Mixed,759639.0,14427.0,0.01899191589689313,12.9
IN,2016.0,Indiana,Mixed,755967.0,16365.0,0.02164777033918147,12.8
IN,2017.0,Indiana,Mixed,787073.0,20889.0,0.026540104920382227,13.8
KS,2015.0,Kansas,Fully Illegal,307848.0,3926.0,0.012753046958239131,13.7
KS,2016.0,Kansas,Fully Illegal,304518.0,3774.0,0.012393356057769984,14.9
KS,2017.0,Kansas,Fully Illegal,312793.0,3771.0,0.012055896391543289,15.8
KY,2015.0,Kentucky,Fully Illegal,550060.0,14286.0,0.025971712176853436,18.8
KY,2016.0,Kentucky,Fully Illegal,559117.0,16155.0,0.02889377357511934,19.7
KY,2017.0,Kentucky,Fully Illegal,576429.0,18737.0,0.03250530420919142,18.7
LA,2015.0,Louisiana,Mixed,530372.0,9800.0,0.018477596856545972,17.2
LA,2016.0,Louisiana,Mixed,526179.0,11393.0,0.02165232743990163,17.8
LA,2017.0,Louisiana,Mixed,540067.0,12344.0,0.02285642336969302,17.6
MA,2015.0,Massachusetts,Fully Legal,701311.0,17638.0,0.025150040424291076,5.8
MA,2016.0,Massachusetts,Fully Legal,686740.0,23951.0,0.03487637242624574,6.8
MA,2017.0,Massachusetts,Fully Legal,711010.0,25670.0,0.036103570976498224,6.1
MD,2015.0,Maryland,Mixed,566202.0,14101.0,0.024904539369341682,8.6
MD,2016.0,Maryland,Mixed,568857.0,20291.0,0.03566977289547285,9.4
MD,2017.0,Maryland,Mixed,593893.0,27014.0,0.04548630813968173,9.5
ME,2015.0,Maine,Fully Legal,168991.0,2940.0,0.01739737619163151,11.4
ME,2016.0,Maine,Fully Legal,167830.0,3796.0,0.022618125484120837,13.2
ME,2017.0,Maine,Fully Legal,172501.0,4494.0,0.026052022886823845,14.2
MI,2015.0,Michigan,Fully Legal,1134047.0,23417.0,0.020649055991506526,8.9
MI,2016.0,Michigan,Fully Legal,1123841.0,24245.0,0.02157333644172085,9.9
MI,2017.0,Michigan,Fully Legal,1152357.0,31175.0,0.027053248255531924,10.6
MN,2015.0,Minnesota,Mixed,512376.0,6669.0,0.013015832123284462,8.7
MN,2016.0,Minnesota,Mixed,512281.0,7668.0,0.014968347449934704,8.6
MN,2017.0,Minnesota,Mixed,525368.0,8288.0,0.01577560871617609,8.1
MO,2015.0,Missouri,Mixed,744471.0,13090.0,0.01758295487668425,15.3
MO,2016.0,Missouri,Mixed,735070.0,14478.0,0.01969608336621002,16.5
MO,2017.0,Missouri,Mixed,763154.0,16847.0,0.022075491971476267,16.3
MS,2015.0,Mississippi,Fully Illegal,367785.0,3907.0,0.010623054230052885,25.7
MS,2016.0,Mississippi,Fully Illegal,369589.0,3933.0,0.010641550479045643,26.3
MS,2017.0,Mississippi,Fully Illegal,372827.0,3911.0,0.010490120082504753,25.8
MT,2015.0,Montana,Mixed,116009.0,1527.0,0.013162771853907887,21.3
MT,2016.0,Montana,Mixed,118846.0,1477.0,0.012427847803039228,19.1
MT,2017.0,Montana,Mixed,122927.0,1465.0,0.011917642177877927,17.0
NC,2015.0,North Carolina,Fully Illegal,1069879.0,17006.0,0.015895255444774596,15.1
