legalWeedStatus,State,Year,MV_Deaths,Total_Deaths,Total_OD_Deaths,OverdosePercent,MVPercent
Fully Illegal,South Dakota,2016,138,94162.0,809.0,0.008591576219706463,0.0014655593551538837
Fully Illegal,South Dakota,2017,129,97901.0,891.0,0.009101030632986385,0.0013176576337320355
Fully Illegal,Tennessee,2015,958,838607.0,16367.0,0.019516889317642235,0.0011423706217572713
Fully Illegal,Tennessee,2016,1189,845502.0,18632.0,0.022036612568627868,0.0014062651537193288
Fully Illegal,Tennessee,2017,1040,872556.0,20761.0,0.023793315271455357,0.0011919005771549333
Fully Illegal,Wisconsin,2015,566,614301.0,10378.0,0.01689399821911408,0.0009213724216629958
Fully Illegal,Wisconsin,2016,619,612995.0,11926.0,0.019455297351528154,0.0010097961647321757
Fully Illegal,Wisconsin,2017,613,626083.0,13577.0,0.021685623152201863,0.0009791034096118245
Fully Illegal,Wyoming,2015,145,53812.0,1229.0,0.022838772021110534,0.002694566267746971
Fully Illegal,Wyoming,2016,99,52723.0,1138.0,0.02158450771010754,0.0018777383684539955
Fully Illegal,Wyoming,2017,123,52181.0,871.0,0.016691899350338244,0.0023571798164082713
Fully Legal,Alaska,2015,65,50086.0,1472.0,0.029389450145749313,0.0012977678393163757
Fully Legal,Alaska,2016,81,51141.0,1594.0,0.031168729590739328,0.0015838563970200035
Fully Legal,Alaska,2017,79,51597.0,1571.0,0.03044750663798283,0.0015310967691920072
Fully Legal,California,2015,3176,3056952.0,56001.0,0.01831922777982775,0.0010389433658101273
Fully Legal,California,2016,4001,3139581.0,57154.0,0.018204340005879765,0.0012743738734563624
Fully Legal,California,2017,3602,3202053.0,58406.0,0.018240172789144964,0.001124903304223884
Fully Legal,Colorado,2015,546,441445.0,11091.0,0.025124307671397342,0.0012368471723544269
Fully Legal,Colorado,2016,630,450894.0,11137.0,0.024699818582638047,0.0013972241812931642
Fully Legal,Colorado,2017,648,461701.0,12046.0,0.026090478469832208,0.0014035057320646912
Fully Legal,District of Columbia,2015,23,68282.0,1447.0,0.02119152924636068,0.00033683840543627895
Fully Legal,District of Columbia,2016,53,69250.0,2586.0,0.037342960288808666,0.0007653429602888087
